date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:52:51	160/160	---MCZ	200	added ('OK')	text/plain	date:Mon,%2017%20Sep%202018%2013:08:38%20GMT	https://webdesignakron.com/robots.txt		(from )
12:52:53	87319/87319	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Sep%202019%2007:22:53%20GMT	https://webdesignakron.com/	C:/My%20Web%20Sites/akroon/webdesignakron.com/index.html	(from )
12:52:57	267190/267190	---MCZ	200	added ('OK')	text/css	date:Tue,%2028%20May%202019%2019:53:10%20GMT	http://webdesignakron.com/wp-content/plugins/all-in-one-event-calendar/public/themes-ai1ec/vortex/css/ai1ec_parsed_css.css?ver=2.5.41	C:/My%20Web%20Sites/akroon/webdesignakron.com/wp-content/plugins/all-in-one-event-calendar/public/themes-ai1ec/vortex/css/ai1ec_parsed_css79bc.css	(from https://webdesignakron.com/)
12:52:57	29295/29295	---MCZ	200	added ('OK')	text/css	date:Tue,%2028%20May%202019%2019:56:21%20GMT	https://webdesignakron.com/wp-includes/css/dist/block-library/style.min.css?ver=6e7726c8f44d045b13560f7605a03278	C:/My%20Web%20Sites/akroon/webdesignakron.com/wp-includes/css/dist/block-library/style.minb4ce.css	(from https://webdesignakron.com/)
12:52:57	798/798	---MC-	200	added ('OK')	application/rss+xml	etag:%228a94c6f1af58e515e353f3e292e6ce0f%22	https://webdesignakron.com/comments/feed/	C:/My%20Web%20Sites/akroon/webdesignakron.com/comments/feed/index.html	(from https://webdesignakron.com/)
12:52:57	98894/98894	---MC-	200	added ('OK')	application/rss+xml	etag:%22c3a886fe0c3957cafdd8f2be37537311%22	https://webdesignakron.com/feed/	C:/My%20Web%20Sites/akroon/webdesignakron.com/feed/index.html	(from https://webdesignakron.com/)
12:52:58	6362/6362	---MCZ	200	added ('OK')	text/css	date:Tue,%2028%20May%202019%2019:53:23%20GMT	https://webdesignakron.com/wp-content/plugins/woo-gutenberg-products-block/build/style.css?ver=2.1.0	C:/My%20Web%20Sites/akroon/webdesignakron.com/wp-content/plugins/woo-gutenberg-products-block/build/style3c94.css	(from https://webdesignakron.com/)
12:52:58	1685/1685	---MCZ	200	added ('OK')	text/css	date:Tue,%2028%20May%202019%2019:53:13%20GMT	https://webdesignakron.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.3	C:/My%20Web%20Sites/akroon/webdesignakron.com/wp-content/plugins/contact-form-7/includes/css/stylesbdeb.css	(from https://webdesignakron.com/)
12:52:58	3076/3076	---MCZ	200	added ('OK')	text/css	date:Mon,%2028%20Jan%202019%2002:13:20%20GMT	https://webdesignakron.com/wp-content/plugins/cookie-notice/css/front.min.css?ver=6e7726c8f44d045b13560f7605a03278	C:/My%20Web%20Sites/akroon/webdesignakron.com/wp-content/plugins/cookie-notice/css/front.minb4ce.css	(from https://webdesignakron.com/)
12:52:58	104341/104341	---MCZ	200	added ('OK')	text/css	date:Tue,%2028%20May%202019%2019:53:13%20GMT	https://webdesignakron.com/wp-content/plugins/feed-them-social/feeds/css/styles.css?ver=2.6.9	C:/My%20Web%20Sites/akroon/webdesignakron.com/wp-content/plugins/feed-them-social/feeds/css/stylesa19e.css	(from https://webdesignakron.com/)
